point,target_x,target_y,pred_x,pred_y,error_px
1,128,72,465.2096774193548,696.0806451612904,709.3567637022979
2,640,72,0.0,272.21666666666664,670.5868427065291
3,1152,72,0.0,269.08196721311475,1168.7366263622405
4,128,360,0.0,514.6666666666666,200.76298906366623
5,640,360,0.0,677.688524590164,714.5110206681736
6,1152,360,5.360655737704918,693.7868852459017,1194.2342611784452
7,128,648,3.2459016393442623,703.9672131147541,136.73300260585398
8,640,648,22.152542372881356,719.0,621.9135638465317
9,1152,648,406.4754098360656,711.4262295081967,748.2177498086562

Average Error(px),685.0058688824884
Max Error(px),1194.2342611784452
Min Error(px),136.73300260585398
Std Error(px),339.61597806672125
