point,target_x,target_y,pred_x,pred_y,error_px
1,128,72,0.0,199.71666666666667,180.81910005429307
2,640,72,718.1147540983607,151.86885245901638,111.71816504475663
3,1152,72,1263.5,66.76666666666667,111.62274758210253
4,128,360,75.18333333333334,362.4166666666667,52.871925967904325
5,640,360,829.327868852459,328.327868852459,191.95876071604795
6,1152,360,1275.0,285.6393442622951,143.7306756462985
7,128,648,122.77049180327869,549.1639344262295,98.97431795209421
8,640,648,698.8360655737705,564.8524590163935,101.85870696126841
9,1152,648,1248.3833333333334,508.23333333333335,169.77770187970967

Average Error(px),129.25912242271949
Max Error(px),191.95876071604795
Min Error(px),52.871925967904325
Std Error(px),42.898510598546956
